name,feature,what
Лэнс Хантер,Настоящее имя,Лэнс Хантер
Тревор Хан,Настоящее имя,Тревор Хан
Хосе Гутьеррес,Также известен как,Джоуи Гутьеррес
Хосе Гутьеррес,Вид,Джо
Хосе Гутьеррес,Пол,Новичок
Хосе Гутьеррес,Принадлежность,Ангель Перенад
Лэнс Хантер,Также известен как,Тайлер
Лэнс Хантер,Вид,Футбольные руки
Лэнс Хантер,Гражданство,Разведённый
Лэнс Хантер,Пол,Чайная чашка
Дэймон Келлер,Настоящее имя,Дэймон Келлер
Тревор Хан,Также известен как,Спаситель
Тревор Хан,Вид,Человек
Тревор Хан,Гражданство,США
Тревор Хан,Пол,Мужской
Эйва Старр,Настоящее имя,Эйва Старр
Дэймон Келлер,Вид,Человек
Дэймон Келлер,Пол,Мужской
Дэймон Келлер,Дата смерти,2019
Дэймон Келлер,Принадлежность,Агент 
Эйва Старр,Также известен как,Призрак
Эйва Старр,Вид,Призрачная сущность
Эйва Старр,Гражданство,Дух
Эйва Старр,Пол,Баба-Яга
Принс,Настоящее имя,Принс
Клинтон Фрэнсис Бартон,Настоящее имя,Клинтон Фрэнсис Бартон
Антуан Триплетт,Настоящее имя,Антуан Триплетт
Виктория Луиз Хэнд,Настоящее имя,Виктория Луиз Хэнд
Джанет ван Дайн,Настоящее имя,Джанет ван Дайн
Принс,Вид,Человек
Принс,Принадлежность,Агент 
Принс,Статус,Щ.И.Т.
Принс,Сериал,Щ.И.Т.
Клинтон Фрэнсис Бартон,Также известен как,Клинт Бартон
Клинтон Фрэнсис Бартон,Вид,Соколиный глаз
Клинтон Фрэнсис Бартон,Гражданство,Величайший стрелок на 
Клинтон Фрэнсис Бартон,Пол,планете
Антуан Триплетт,Также известен как,Трип
Антуан Триплетт,Вид,Генерал Джонс
Антуан Триплетт,Гражданство,Человек
Антуан Триплетт,Пол, 
Виктория Луиз Хэнд,Также известен как,Вик
Виктория Луиз Хэнд,Вид,Верхушка
Виктория Луиз Хэнд,Гражданство,Человек
Виктория Луиз Хэнд,Пол, 
Джанет ван Дайн,Также известен как,Оса
Джанет ван Дайн,Вид,Мама
Джанет ван Дайн,Гражданство,Дорогая
Джанет ван Дайн,Пол,Человек
Яух,Настоящее имя,Яух
Яух,Вид,Человек
Яух,Гражданство,США
Яух,Пол,Мужской
Яух,Дата смерти,7 мая 1946
Джек Томпсон,Настоящее имя,Джек Томпсон
Дэниел Суза,Настоящее имя,Дэниел Суза
Джек Томпсон,Также известен как,Джеки
Джек Томпсон,Вид,Сэр Исаак Ньютон
Джек Томпсон,Гражданство,Человек
Джек Томпсон,Пол, 
Дэниел Суза,Также известен как,Деревянная нога
Дэниел Суза,Вид,Киллер
Дэниел Суза,Гражданство,Мистер Ауэрбах
Дэниел Суза,Пол,Дэнни-бой
Роджер Дули,Настоящее имя,Роджер Дули
Авраам Эрскин,Настоящее имя,Авраам Эрскин
Роджер Дули,Также известен как,Родж
Роджер Дули,Вид,Человек
Роджер Дули,Гражданство,США
Роджер Дули,Пол,Мужской
Авраам Эрскин,Также известен как,Джосеф Райнстайн
Авраам Эрскин,Вид,[1]
Авраам Эрскин,Гражданство,Человек
Авраам Эрскин,Пол, 
Елена Родригес,Настоящее имя,Елена Родригес
Генри Джонатан Пим,Настоящее имя,Генри Джонатан Пим
Елена Родригес,Также известен как,Йо-Йо
Елена Родригес,Вид,Добро
Елена Родригес,Гражданство,Нелюдь
Елена Родригес,Пол, (Киборг)
Генри Джонатан Пим,Также известен как,Хэнк Пим
Генри Джонатан Пим,Вид,Человек-муравей 
Генри Джонатан Пим,Гражданство,Старик
Генри Джонатан Пим,Пол,Человек
Дек Шо,Настоящее имя,Дек Шо
Дек Шо,Также известен как,Гекльберри
Дек Шо,Вид,Эйнштейн
Дек Шо,Гражданство,Дик
Дек Шо,Пол,Ребёнок
Пайпер,Настоящее имя,Пайпер
Пайпер,Также известен как,Сайдкик
Пайпер,Вид,Любовь
Пайпер,Гражданство,Человек
Пайпер,Пол, 
Дэвис,Настоящее имя,Дэвис
Рахул Надим,Настоящее имя,Рахул Надим
Диаз,Настоящее имя,Диаз
Дэвис,Также известен как,Агент Красный
Дэвис,Вид,Большой парень
Дэвис,Гражданство,Бадди
Дэвис,Пол,Большой малыш
Рахул Надим,Также известен как,Рэй Надим
Рахул Надим,Вид,Человек
Рахул Надим,Гражданство, 
Рахул Надим,Пол,США
Диаз,Вид,Человек
Диаз,Гражданство,США
Диаз,Пол,Женский
Диаз,Принадлежность,Агенты Щ.И.Т.а
Столтз,Настоящее имя,Столтз
Столтз,Вид,Человек
Столтз,Гражданство,США
Столтз,Пол,Мужской
Столтз,Принадлежность,Агент
Уильям Дж. Роулинс III,Настоящее имя,Уильям Дж. Роулинс III
Уильям Дж. Роулинс III,Также известен как,Билл
Уильям Дж. Роулинс III,Вид,Агент Орандж
Уильям Дж. Роулинс III,Гражданство,Наш пугающий лидер
Уильям Дж. Роулинс III,Пол,Убийственный кусок дерьма
Шэрон Картер,Настоящее имя,Шэрон Картер
Шэрон Картер,Также известен как,Агент 13
Шэрон Картер,Вид,Кейт
Шэрон Картер,Гражданство,Медсестра
Шэрон Картер,Пол,Соседка
Мелинда Цяолян Мэй,Настоящее имя,Мелинда Цяолян Мэй
Мелинда Цяолян Мэй,Также известен как,Мелли
Мелинда Цяолян Мэй,Вид,Кавалерия
Мелинда Цяолян Мэй,Гражданство,Прекрасный воин с сердцем изо льда
Мелинда Цяолян Мэй,Пол,Доктор Роум
Розалинд Прайс,Настоящее имя,Розалинд Прайс
Дина Мадани,Настоящее имя,Дина Мадани
Розалинд Прайс,Также известен как,Роз
Розалинд Прайс,Вид,Маргарет Кэмпбелл
Розалинд Прайс,Гражданство,Джейн Томпсон
Розалинд Прайс,Пол,Саманта Поттер
Дина Мадани,Вид,Человек
Дина Мадани,Гражданство, 
Дина Мадани,Пол,США
Дина Мадани,Принадлежность,Женский
Эверетт Кеннет Росс,Настоящее имя,Эверетт Кеннет Росс
Талос,Настоящее имя,Талос
Эверетт Кеннет Росс,Также известен как,Поломанный белолицый
Эверетт Кеннет Росс,Вид,Колонизатор
Эверетт Кеннет Росс,Гражданство,Человек
Эверетт Кеннет Росс,Пол, 
Талос,Также известен как,Со-Лар
Талос,Вид,Келлер
Талос,Пол,Мам
Талос,Принадлежность,Босс
Келлер,Настоящее имя,Келлер
Келлер,Вид,Человек
Келлер,Гражданство, 
Келлер,Пол,США
Келлер,Принадлежность,Мужской
Мэрон Джеймс,Настоящее имя,Мэрон Джеймс
Мэрон Джеймс,Вид,Человек
Мэрон Джеймс,Пол,Женский
Мэрон Джеймс,Принадлежность, 
Мэрон Джеймс,Статус,ЦРУ
Филипп Дж. Колсон,Настоящее имя,Филипп Дж. Колсон
Филипп Дж. Колсон,Также известен как,Фил Колсон
Филипп Дж. Колсон,Вид,Сын Кола
Филипп Дж. Колсон,Гражданство,Эй.Си.
Филипп Дж. Колсон,Пол,"Филлип, сын Кола"
Альфонсо Маккензи,Настоящее имя,Альфонсо Маккензи
Маргарет Элизабет Картер,Настоящее имя,Маргарет Элизабет Картер
Джеймс Ву,Настоящее имя,Джеймс Ву
Альфонсо Маккензи,Также известен как,Мак
Альфонсо Маккензи,Вид,"Тот, кто убьет "
Альфонсо Маккензи,Пол,Гордона
Альфонсо Маккензи,Допуск,"Мягкий, маленький, пушистый мишка Тедди"
Джеффри Мейс,Настоящее имя,Джеффри Мейс
Маргарет Элизабет Картер,Также известен как,Пегги Картер
Маргарет Элизабет Картер,Вид,Пэг
Маргарет Элизабет Картер,Гражданство,Агент 13
Маргарет Элизабет Картер,Пол,Ева
Джеймс Ву,Также известен как,Джимми Ву
Джеймс Ву,Вид,Человек
Джеймс Ву,Пол,Мужской
Джеймс Ву,Принадлежность,Щ.И.Т.
Джеффри Мейс,Также известен как,Патриот
Джеффри Мейс,Вид,Джефф
Джеффри Мейс,Гражданство,Чудовище
Джеффри Мейс,Пол,Директор
Памела,Настоящее имя,Памела
Памела,Также известен как,Пэм
Памела,Вид,Пэмми
Памела,Гражданство,Человек
Памела,Пол, 
Дейзи Джонсон,Настоящее имя,Дейзи Джонсон
Франклин Перси Нельсон,Настоящее имя,Франклин Перси Нельсон
Дейзи Джонсон,Также известен как,Дрожь
Дейзи Джонсон,Вид,Скай 
Дейзи Джонсон,Гражданство,Разодетая деваха
Дейзи Джонсон,Пол,Мэри Сью Путс 
Франклин Перси Нельсон,Также известен как,Фогги Нельсон
Франклин Перси Нельсон,Вид,Фрэнк
Франклин Перси Нельсон,Гражданство,Фог
Франклин Перси Нельсон,Пол,Мишка Фогги
Марси Стал,Настоящее имя,Марси Стал
Локи Лафейсон,Настоящее имя,Локи Лафейсон
Один Бёрсон,Настоящее имя,Один Бёрсон
Марси Стал,Вид,Человек
Марси Стал,Гражданство,США
Марси Стал,Пол,Женский
Марси Стал,Принадлежность,Лэндман и Зак
Локи Лафейсон,Также известен как,Локи Одинсон
Локи Лафейсон,Вид,Бог лжи
Локи Лафейсон,Гражданство,Локи из 
Локи Лафейсон,Пол,Асгарда
Один Бёрсон,Также известен как,Все-отец
Один Бёрсон,Вид,Один все-отец
Один Бёрсон,Гражданство,Король
Бёр Бурисон,Настоящее имя,Бёр Бурисон
Один Бёрсон,Пол,Смотритель девяти миров
Бёр Бурисон,Вид,Асгардец
Бёр Бурисон,Гражданство, 
Бёр Бурисон,Пол,Асгард
Бёр Бурисон,Принадлежность,Мужской
Окойе,Настоящее имя,Окойе
Окойе,Также известен как,Синица-гаичка
Окойе,Вид,Человек
Окойе,Гражданство, 
Окойе,Пол,Ваканда
Стакар Огорд,Настоящее имя,Стакар Огорд
Стакар Огорд,Вид,Арктуранец
Стакар Огорд,Пол,Мужской
Стакар Огорд,Принадлежность,Капитан
Стакар Огорд,Статус,Опустошители
Дэвид Линус Либерман,Настоящее имя,Дэвид Линус Либерман
Туллк,Настоящее имя,Туллк
Нарблик,Настоящее имя,Нарблик
Дэвид Линус Либерман,Также известен как,Микро
Дэвид Линус Либерман,Вид,Ужасный
Дэвид Линус Либерман,Гражданство,Человек
Дэвид Линус Либерман,Пол, 
Туллк,Пол,Мужской
Туллк,Принадлежность,Опустошители
Туллк,Статус, 
Туллк,Фильм,Клан Опустошителей Йонду
Нарблик,Пол,Мужской
Нарблик,Принадлежность,Опустошители
Нарблик,Статус,Мёртв
Нарблик,Фильм,Стражи Галактики. Часть 2
Дэниэл Томас Рэнд,Настоящее имя,Дэниэл Томас Рэнд
Питер Скарборо,Настоящее имя,Питер Скарборо
Дэниэл Томас Рэнд,Также известен как,Дэнни Рэнд
Дэниэл Томас Рэнд,Вид,Железный кулак
Дэниэл Томас Рэнд,Гражданство,Живое оружие
Дэниэл Томас Рэнд,Пол,Дэнни-бой
Питер Скарборо,Также известен как,Мистический человек
Питер Скарборо,Вид,Мистер Скарборо
Питер Скарборо,Гражданство,Человек
Питер Скарборо,Пол,США
Томас Ричардс,Настоящее имя,Томас Ричардс
Гартан Саал,Настоящее имя,Гартан Саал
Романн Дэй,Настоящее имя,Романн Дэй
Ирани Раэль,Настоящее имя,Ирани Раэль
Томас Ричардс,Вид,Человек
Томас Ричардс,Гражданство,США
Томас Ричардс,Пол,Мужской
Томас Ричардс,Принадлежность,Нефтяная корпорация Roxxon
Гартан Саал,Вид,Ксандарианец
Гартан Саал,Гражданство, 
Романн Дэй,Вид,Ксандарианец
Романн Дэй,Гражданство, 
Романн Дэй,Пол,Империя Нова
Романн Дэй,Принадлежность,Мужской
Ирани Раэль,Вид,Ксандарианец
Ирани Раэль,Гражданство, 
Ирани Раэль,Пол,Империя Нова
Ирани Раэль,Принадлежность,Женский
Мэттью Майкл Мёрдок,Настоящее имя,Мэттью Майкл Мёрдок
Оран,Настоящее имя,Оран
Гартан Саал,Пол,Империя Нова
Гартан Саал,Дата смерти,Мужской
Кьюавас,Настоящее имя,Кьюавас
Мэттью Майкл Мёрдок,Также известен как,Мэтт Мёрдок
Мэттью Майкл Мёрдок,Вид,Сорвиголова
Мэттью Майкл Мёрдок,Гражданство,Мэтти
Мэттью Майкл Мёрдок,Пол,Док
Оран,Также известен как,Ассасин
Оран,Вид,Нелюдь
Оран,Гражданство, 
Оран,Пол,Аттилан
Кьюавас,Также известен как,Теневой парень
Кьюавас,Вид,Инопланетный завоеватель
Кьюавас,Пол,Реморат
Кьюавас,Принадлежность,Мужской
Энн Мари Хог,Настоящее имя,Энн Мари Хог
Сакас,Настоящее имя,Сакас
Локус,Настоящее имя,Локус
Палсус,Настоящее имя,Палсус
Энн Мари Хог,Вид,Человек
Энн Мари Хог,Гражданство,США
Энн Мари Хог,Пол,Женский
Энн Мари Хог,Принадлежность,Контроль последствий
Сакас,Вид,Нелюдь
Сакас,Гражданство, 
Сакас,Пол,Аттилан
Сакас,Принадлежность,Мужской
Локус,Вид,Нелюдь
Локус,Гражданство, 
Локус,Пол,Аттилан
Локус,Принадлежность,Женский
Палсус,Вид,Нелюдь
Палсус,Гражданство, 
Палсус,Пол,Аттилан
Палсус,Принадлежность,Мужской
Фостер,Настоящее имя,Фостер
Флора,Настоящее имя,Флора
Фостер,Вид,Человек
Фостер,Пол,Мужской
Фостер,Принадлежность,Контроль последствий
Фостер,Статус,Жив
Флора,Вид,Нелюдь
Флора,Гражданство, 
Флора,Пол,Аттилан
Флора,Принадлежность,Женский
Горгон Петрагон,Настоящее имя,Горгон Петрагон
Тарин,Настоящее имя,Тарин
Горгон Петрагон,Также известен как,Страж
Горгон Петрагон,Вид,Нелюдь
Горгон Петрагон,Гражданство, 
Горгон Петрагон,Пол,Аттилан
Тарин,Также известен как,Прямой шутер
Тарин,Вид,Касиус
Тарин,Гражданство,Кри
Тарин,Пол, 
Карл Мордо,Настоящее имя,Карл Мордо
Люциан,Настоящее имя,Люциан
Сол Рама,Настоящее имя,Сол Рама
Дэниэл Драмм,Настоящее имя,Дэниэл Драмм
Карл Мордо,Вид,Человек
Карл Мордо,Пол,Мужской
Карл Мордо,Принадлежность,Мастер 
Карл Мордо,Статус, 
Люциан,Вид,Человек
Люциан,Пол,Мужской
Люциан,Принадлежность,Мастера мистических искусств
Люциан,Статус, 
Сол Рама,Вид,Человек
Сол Рама,Пол,Мужской
Сол Рама,Принадлежность,Мастер 
Сол Рама,Статус,Лондонского Санктума Санкторума
Дэниэл Драмм,Вид,Человек
Дэниэл Драмм,Пол,Мужской
Дэниэл Драмм,Дата смерти,10 марта 2017
Дэниэл Драмм,Принадлежность,Мастер 
Кецилий,Настоящее имя,Кецилий
Хамир,Настоящее имя,Хамир
Минору,Настоящее имя,Минору
Вонг,Настоящее имя,Вонг
Кецилий,Также известен как,Зелот
Кецилий,Вид,Безмолвный
Кецилий,Гражданство,Человек
Кецилий,Пол, 
Стивен Винсент Стрэндж,Настоящее имя,Стивен Винсент Стрэндж
Хамир,Вид,Человек
Хамир,Пол,Мужской
Хамир,Принадлежность,Мастер
Хамир,Статус,Мастера мистических искусств
Минору,Вид,Человек
Минору,Пол,Женский
Минору,Принадлежность,Мастер 
Минору,Статус,Гонконгского Санктума Санкторума
Вонг,Также известен как,Бейонсе
Вонг,Вид,Человек
Вонг,Гражданство, 
Вонг,Пол,Китай
Агамотто,Настоящее имя,Агамотто
Стивен Винсент Стрэндж,Также известен как,Доктор Стрэндж
Стивен Винсент Стрэндж,Вид,Мастер Стрэндж
Стивен Винсент Стрэндж,Гражданство,Мистер Доктор
Стивен Винсент Стрэндж,Пол,Колдун
Моника Рамбо,Настоящее имя,Моника Рамбо
Агамотто,Также известен как,Отец 
Агамотто,Пол,мистических искусств
Агамотто,Принадлежность,Могучий Агамотто
Агамотто,Статус,Мужской
Скроут,Настоящее имя,Скроут
Моника Рамбо,Также известен как,Лейтенант Заноза
Моника Рамбо,Вид,Человек
Моника Рамбо,Гражданство,США
Моника Рамбо,Пол,Женский
Обло,Настоящее имя,Обло
Халф-Нат,Настоящее имя,Халф-Нат
Брал,Настоящее имя,Брал
Вретч,Настоящее имя,Вретч
Скроут,Пол,Мужской
Скроут,Принадлежность,Опустошители
Скроут,Статус,Мёртв
Скроут,Фильм,Стражи Галактики: Часть 2
Обло,Пол,Мужской
Обло,Принадлежность,Опустошители
Обло,Статус,Мёртв
Обло,Фильм,Стражи Галактики. Часть 2
Халф-Нат,Пол,Мужской
Халф-Нат,Принадлежность,Опустошители
Халф-Нат,Статус,Мёртв
Халф-Нат,Фильм,Стражи Галактики. Часть 2
Брал,Пол,Мужской
Брал,Принадлежность,Опустошители
Брал,Статус,Мёртв
Брал,Фильм,Стражи Галактики. Часть 2
Вретч,Пол,Мужской
Вретч,Принадлежность,Опустошители
Вретч,Статус,Мёртв
Вретч,Фильм,Стражи Галактики. Часть 2
Питер Джейсон Квилл,Настоящее имя,Питер Джейсон Квилл
Джеф,Настоящее имя,Джеф
Краглин Обфонтери,Настоящее имя,Краглин Обфонтери
Хоруз,Настоящее имя,Хоруз
Питер Джейсон Квилл,Также известен как,Звёздный Лорд
Питер Джейсон Квилл,Вид,Звёздный принц
Питер Джейсон Квилл,Гражданство,Космический Лорд
Питер Джейсон Квилл,Пол,Легендарный преступник
Джеф,Пол,Мужской
Джеф,Принадлежность,Опустошители
Джеф,Статус,Мёртв
Джеф,Фильм,Стражи Галактики. Часть 2
Краглин Обфонтери,Вид,Ксандарианец
Краглин Обфонтери,Пол,[1]
Краглин Обфонтери,Принадлежность,Мужской
Краглин Обфонтери,Статус,Первый помощник
Хоруз,Пол,Мужской
Хоруз,Дата смерти,4 августа 2014
Хоруз,Принадлежность,Опустошители
Хоруз,Статус,*
Йонду Удонта,Настоящее имя,Йонду Удонта
Йонду Удонта,Также известен как,Пират
Йонду Удонта,Вид,Кэп
Йонду Удонта,Гражданство,Старик
Йонду Удонта,Пол,Мэри Поппинс
Мартинекс,Настоящее имя,Мартинекс
Кругарр,Настоящее имя,Кругарр
Мейнфрейм,Настоящее имя,Мейнфрейм
Чарли-27,Настоящее имя,Чарли-27
Алета Огорд,Настоящее имя,Алета Огорд
Мартинекс,Вид,Плувианец
Мартинекс,Пол,Мужской
Мартинекс,Принадлежность,Первый помощник
Мартинекс,Статус,Опустошители
Кругарр,Вид,Лем
Кругарр,Пол,Мужской
Кругарр,Принадлежность,Капитан
Кругарр,Статус,Опустошители
Мейнфрейм,Вид,Искусственный интеллект
Мейнфрейм,Пол,Женский 
Мейнфрейм,Принадлежность,Капитан
Мейнфрейм,Статус,Опустошители
Чарли-27,Вид,Джовианец
Чарли-27,Пол,Мужской
Чарли-27,Принадлежность,Капитан
Чарли-27,Статус,Опустошители
Алета Огорд,Вид,Арктуранка
Алета Огорд,Пол,Женский
Алета Огорд,Принадлежность,Капитан
Алета Огорд,Статус,Опустошители
Лей Кунг,Настоящее имя,Лей Кунг
Лей Кунг,Также известен как,Громовержец
Лей Кунг,Вид,Человек
Лей Кунг,Гражданство,К'унь-Лунь
Лей Кунг,Пол,Мужской
Давос,Настоящее имя,Давос
Давос,Вид,Человек
Давос,Гражданство,Кунь-Лунь
Давос,Пол,Мужской
Давос,Принадлежность,Орден Журавлиной матери
Лютер Бэнкс,Настоящее имя,Лютер Бэнкс
Лютер Бэнкс,Вид,Человек
Лютер Бэнкс,Гражданство,США
Лютер Бэнкс,Пол,Мужской
Лютер Бэнкс,Принадлежность,Морская пехота США
Мэттью Эллис,Настоящее имя,Мэттью Эллис
Мэттью Эллис,Вид,Человек
Мэттью Эллис,Гражданство, 
Мэттью Эллис,Пол,США
Мэттью Эллис,Принадлежность,Мужской
М'Кату,Настоящее имя,М'Кату
М'Кату,Вид,Человек
М'Кату,Гражданство, 
М'Кату,Пол,Ваканда
М'Кату,Принадлежность,Мужской
Курт,Настоящее имя,Курт
Дэйв,Настоящее имя,Дэйв
Курт,Вид,Человек
Курт,Гражданство, 
Курт,Пол,Россия
Курт,Принадлежность,Мужской
Дэйв,Также известен как,Парень для бегства
Дэйв,Вид,Человек
Дэйв,Гражданство,США
Дэйв,Пол,Мужской
Луис,Настоящее имя,Луис
Луис,Также известен как,Папочка
Луис,Вид,Живой музыкальный автомат
Луис,Пол,Человек
Луис,Принадлежность,Мужской
Омар,Настоящее имя,Омар
Ахмед,Настоящее имя,Ахмед
Аиша,Настоящее имя,Аиша
Омар,Вид,Человек
Омар,Гражданство,Афганистан
Омар,Пол,Мужской
Омар,Дата смерти,12 сентября 2010
Ахмед,Вид,Человек
Ахмед,Гражданство,Афганистан
Ахмед,Пол,Мужской
Ахмед,Дата смерти,12 сентября 2010
Аиша,Также известен как,Золотая девчонка с высоким самомнением
Аиша,Вид,Суверен
Аиша,Гражданство,Суверен
Скотт Эдвард Харрис Лэнг,Настоящее имя,Скотт Эдвард Харрис Лэнг
Аиша,Пол,Женский
Скотт Эдвард Харрис Лэнг,Также известен как,Человек-муравей
Скотт Эдвард Харрис Лэнг,Вид,Чанг
Скотт Эдвард Харрис Лэнг,Гражданство,SFPD 56210
Скотт Эдвард Харрис Лэнг,Пол,Заключённый 121758584
Оскар Клемонс,Настоящее имя,Оскар Клемонс
Венделл Рэнд,Настоящее имя,Венделл Рэнд
Бристоу,Настоящее имя,Бристоу
Мерседес Келли Найт,Настоящее имя,Мерседес Келли Найт
Оскар Клемонс,Вид,Человек
Оскар Клемонс,Гражданство,США
Оскар Клемонс,Пол,Мужской
Оскар Клемонс,Дата смерти,18 апреля 2015
Венделл Рэнд,Вид,Человек
Венделл Рэнд,Гражданство,США
Венделл Рэнд,Пол,Мужской
Венделл Рэнд,Принадлежность,Rand Enterprises
Бристоу,Вид,Челоек
Бристоу,Гражданство,США
Бристоу,Пол,Мужской
Бристоу,Принадлежность,Офицер
Мерседес Келли Найт,Также известен как,Мисти Найт
Мерседес Келли Найт,Вид,Человек
Мерседес Келли Найт,Гражданство, 
Мерседес Келли Найт,Пол,США
Лоренс Уилкинс,Настоящее имя,Лоренс Уилкинс
Меган,Настоящее имя,Меган
Лоренс Уилкинс,Вид,Человек
Лоренс Уилкинс,Гражданство,США
Лоренс Уилкинс,Пол,Мужской
Лоренс Уилкинс,Дата смерти,2016
Меган,Вид,Человек
Меган,Гражданство,США
Меган,Пол,Женский
Джой Мичам,Настоящее имя,Джой Мичам
Уорд Мичам,Настоящее имя,Уорд Мичам
Н'Джобу,Настоящее имя,Н'Джобу
Меган,Принадлежность,Rand Enterprises
Джой Мичам,Вид,Человек
Джой Мичам,Гражданство,США
Джой Мичам,Пол,Женский
Джой Мичам,Принадлежность,Rand Enterprises
Уорд Мичам,Вид,Человек
Уорд Мичам,Гражданство,США
Уорд Мичам,Пол,Мужской
Уорд Мичам,Принадлежность,Rand Enterprises
Н'Джобу,Также известен как,Сын Аззури
Н'Джобу,Вид,Баба
Н'Джобу,Гражданство,Человек
Н'Джобу,Пол, 
Шури,Настоящее имя,Шури
Бретт Махоуни,Настоящее имя,Бретт Махоуни
Шури,Вид,Человек
Шури,Гражданство, 
Шури,Пол,Ваканда
Шури,Принадлежность,Женский
Бретт Махоуни,Также известен как,Сержант
Бретт Махоуни,Вид,Человек
Бретт Махоуни,Гражданство, 
Бретт Махоуни,Пол,США
Аззури,Настоящее имя,Аззури
Башенга,Настоящее имя,Башенга
Касиус,Настоящее имя,Касиус
Аззури,Также известен как,Чёрная пантера 
Аззури,Вид,Человек
Аззури,Гражданство, 
Аззури,Пол,Ваканда
Башенга,Также известен как,Чёрная пантера
Башенга,Вид,Первая Чёрная пантера
Башенга,Гражданство,Человек
Башенга,Пол, 
Касиус,Также известен как,Синий жирный мужчина
Касиус,Вид,Страшный сын задницы
Касиус,Гражданство,Космический мим
Касиус,Пол,Маленький синий мужчина
Синара,Настоящее имя,Синара
Корат,Настоящее имя,Корат
Йон-Рогг,Настоящее имя,Йон-Рогг
Ронан,Настоящее имя,Ронан
Синара,Также известен как,Смурфетта
Синара,Вид,Страшная синяя задница
Синара,Гражданство,Мистер и миссис Боба Фетт 
Синара,Пол,Мастоном-Дар
Корат,Также известен как,Корат Преследователь
Корат,Вид,Уродец с механической головой
Корат,Гражданство,Кри
Корат,Пол, 
Йон-Рогг,Вид,Кри
Йон-Рогг,Гражданство, 
Йон-Рогг,Пол,Империя Кри
Йон-Рогг,Принадлежность,Мужской
Ронан,Также известен как,Ронан Обвинитель
Ронан,Вид,Фанатик 
Ронан,Гражданство,кри
Ронан,Пол,Кровопийца
Минн-Эрва,Настоящее имя,Минн-Эрва
Брон-Чан,Настоящее имя,Брон-Чан
Атт-Ласс,Настоящее имя,Атт-Ласс
Минн-Эрва,Вид,Кри
Минн-Эрва,Гражданство, 
Минн-Эрва,Пол,Империя Кри
Минн-Эрва,Принадлежность,Женский
Брон-Чан,Вид,Кри
Брон-Чан,Гражданство, 
Брон-Чан,Пол,Империя Кри
Брон-Чан,Принадлежность,Мужской
Атт-Ласс,Вид,Кри
Атт-Ласс,Гражданство, 
Атт-Ласс,Пол,Империя Кри
Атт-Ласс,Принадлежность,Мужской
Абу Бакар,Настоящее имя,Абу Бакар
Раза Хамидми Аль-Вазар,Настоящее имя,Раза Хамидми Аль-Вазар
Сорен,Настоящее имя,Сорен
Абу Бакар,Вид,Человек
Абу Бакар,Гражданство,Афганистан
Абу Бакар,Пол,Мужской
Абу Бакар,Принадлежность,Десять колец
Раза Хамидми Аль-Вазар,Вид,Человек
Раза Хамидми Аль-Вазар,Гражданство,Афганистан
Раза Хамидми Аль-Вазар,Пол,Мужской
Раза Хамидми Аль-Вазар,Дата смерти,12 сентября 2010
Сорен,Также известен как,Мария Хилл
Сорен,Вид,Скрулл
Сорен,Пол,Женский
Сорен,Принадлежность,Команда Ника Фьюри
Дмитрий Смердяков,Настоящее имя,Дмитрий Смердяков
Кэмерон Кляйн,Настоящее имя,Кэмерон Кляйн
Рэнди Вэйл,Настоящее имя,Рэнди Вэйл
Джексон В. Брайс,Настоящее имя,Джексон В. Брайс
Дмитрий Смердяков,Вид,Человек
Дмитрий Смердяков,Пол,Мужской
Дмитрий Смердяков,Принадлежность,Команда Ника Фьюри
Дмитрий Смердяков,Статус,Жив
Кэмерон Кляйн,Вид,Человек
Кэмерон Кляйн,Гражданство,США
Кэмерон Кляйн,Пол,Мужской
Кэмерон Кляйн,Принадлежность,Агент 
Рэнди Вэйл,Вид,Человек
Рэнди Вэйл,Пол, 
Рэнди Вэйл,Принадлежность,Мужской
Рэнди Вэйл,Статус,Команда Эдриана Тумса
Джексон В. Брайс,Также известен как,Шокер #1
Джексон В. Брайс,Вид,Шокер
Джексон В. Брайс,Гражданство,Человек
Джексон В. Брайс,Пол,США
Герман Шульц,Настоящее имя,Герман Шульц
Финеас Мейсон,Настоящее имя,Финеас Мейсон
Герман Шульц,Также известен как,Шокер
Герман Шульц,Вид,Шокер #2
Герман Шульц,Гражданство,Человек
Герман Шульц,Пол,США
Финеас Мейсон,Также известен как,Ремесленник
Финеас Мейсон,Вид,Человек
Финеас Мейсон,Гражданство,США
Финеас Мейсон,Пол,Мужской
Эдриан Тумс,Настоящее имя,Эдриан Тумс
Эдриан Тумс,Также известен как,Стервятник
Эдриан Тумс,Вид,Шеф
Эдриан Тумс,Гражданство,Летающий монстр
Эдриан Тумс,Пол,Старик
Карл Малус,Настоящее имя,Карл Малус
Карл Малус,Вид,Человек
Карл Малус,Гражданство, 
Карл Малус,Пол,США
Карл Малус,Дата смерти,Мужской
Джастин Хаммер,Настоящее имя,Джастин Хаммер
Джастин Хаммер,Вид,Человек
Джастин Хаммер,Гражданство,США
Джастин Хаммер,Пол,Мужской
Джастин Хаммер,Принадлежность,Hammer Industries
Узман,Настоящее имя,Узман
Узман,Вид,Человек
Узман,Гражданство,Великобритания
Узман,Пол,Мужской
Узман,Принадлежность,MI6
Хоуп Ван Дайн,Настоящее имя,Хоуп Ван Дайн
